Employee_ID,Department_ID,Role_ID,Education_ID,Age,Job_Tenure,Distance_From_Home,Training_Hours,Performance_Rating,Last_Promotion_Year,Years_Since_Promotion,Work_Life_Balance,Job_Satisfaction,Exit_Interview_Score,Attrition_Risk_Score,Attrition_Flag,Salary_Band,Tenure_Bucket,Age_Group,Distance_Band,Promo_Gap_Bucket,Risk_Segment,Performance_Category,Satisfaction_Category,WLB_Category,Exit_Score_Category,Gender_Clean,Marital_Status
22,6,5,3,52,6,28,48,4,2017,7,5,5,,1.356,0,Band 2 – Mid-Low,6–10 yrs,46–55,Far (26–50 km),6–8 yrs,Low Risk,Good,Very High,Excellent,N/A (Still Employed),Male,Single
23,1,3,3,58,7,20,161,2,2014,10,2,5,,2.64,0,Band 1 – Low,6–10 yrs,55+,Medium (11–25 km),9–12 yrs,Medium Risk,Below Average,Very High,Poor,N/A (Still Employed),Male,Single
24,3,6,3,36,1,37,16,2,2011,13,3,1,,3.774,0,Band 1 – Low,0–2 yrs,36–45,Far (26–50 km),12+ yrs,High Risk,Below Average,Very Low,Fair,N/A (Still Employed),Male,Single
25,6,2,2,32,6,9,37,4,2022,2,2,2,,2.718,0,Band 2 – Mid-Low,6–10 yrs,26–35,Near (≤10 km),0–2 yrs,Medium Risk,Good,Low,Poor,N/A (Still Employed),Female,Divorced
26,1,2,3,50,9,7,165,2,2014,10,4,2,,3.014,0,Band 2 – Mid-Low,6–10 yrs,46–55,Near (≤10 km),9–12 yrs,High Risk,Below Average,Low,Good,N/A (Still Employed),Non-Binary / Other,Divorced
27,4,6,3,26,4,21,64,5,2010,14,3,1,,3.192,0,Band 2 – Mid-Low,3–5 yrs,26–35,Medium (11–25 km),12+ yrs,High Risk,Outstanding,Very Low,Fair,N/A (Still Employed),Male,Divorced
28,2,6,1,24,1,5,90,3,2017,7,1,4,2.0,2.81,0,Band 1 – Low,0–2 yrs,18–25,Near (≤10 km),6–8 yrs,Medium Risk,Average,High,Very Poor,High Dissatisfaction,Non-Binary / Other,Divorced
29,2,6,3,40,5,46,140,4,2010,14,1,5,,2.742,0,Band 2 – Mid-Low,3–5 yrs,36–45,Far (26–50 km),12+ yrs,Medium Risk,Good,Very High,Very Poor,N/A (Still Employed),Male,Divorced
30,6,5,3,23,13,35,193,4,2013,11,5,3,,2.17,0,Band 3 – Mid-High,11–20 yrs,18–25,Far (26–50 km),9–12 yrs,Low Risk,Good,Neutral,Excellent,N/A (Still Employed),Female,Single
31,2,2,3,42,4,12,199,3,2014,10,2,3,,3.024,0,Band 1 – Low,3–5 yrs,36–45,Medium (11–25 km),9–12 yrs,High Risk,Average,Neutral,Poor,N/A (Still Employed),Male,Married
32,4,1,2,38,11,26,140,4,2023,1,4,4,,1.602,0,Band 3 – Mid-High,11–20 yrs,36–45,Far (26–50 km),0–2 yrs,Low Risk,Good,High,Good,N/A (Still Employed),Male,Single
33,3,1,1,28,7,45,158,1,2019,5,2,2,,3.54,0,Band 1 – Low,6–10 yrs,26–35,Far (26–50 km),3–5 yrs,High Risk,Needs Improvement,Low,Poor,N/A (Still Employed),Non-Binary / Other,Single
34,5,1,3,26,10,2,192,3,2011,13,4,2,,2.954,0,Band 2 – Mid-Low,6–10 yrs,26–35,Near (≤10 km),12+ yrs,High Risk,Average,Low,Good,N/A (Still Employed),Male,Single
35,6,3,1,43,15,26,98,1,2010,14,5,1,,3.502,0,Band 3 – Mid-High,11–20 yrs,36–45,Far (26–50 km),12+ yrs,High Risk,Needs Improvement,Very Low,Excellent,N/A (Still Employed),Female,Divorced
36,4,6,2,32,8,36,65,2,2017,7,3,5,,2.272,0,Band 2 – Mid-Low,6–10 yrs,26–35,Far (26–50 km),6–8 yrs,Low Risk,Below Average,Very High,Fair,N/A (Still Employed),Male,Divorced
37,5,6,1,46,12,35,106,1,2014,10,3,3,,3.22,0,Band 2 – Mid-Low,11–20 yrs,46–55,Far (26–50 km),9–12 yrs,High Risk,Needs Improvement,Neutral,Fair,N/A (Still Employed),Non-Binary / Other,Divorced
38,1,2,1,32,12,34,159,1,2010,14,5,4,,2.618,0,Band 2 – Mid-Low,11–20 yrs,26–35,Far (26–50 km),12+ yrs,Medium Risk,Needs Improvement,High,Excellent,N/A (Still Employed),Male,Divorced
39,3,4,3,26,6,32,18,5,2016,8,4,3,,2.064,0,Band 2 – Mid-Low,6–10 yrs,26–35,Far (26–50 km),6–8 yrs,Low Risk,Outstanding,Neutral,Good,N/A (Still Employed),Female,Divorced
40,6,5,2,57,17,5,178,2,2015,9,5,5,,1.81,0,Band 4 – High,11–20 yrs,55+,Near (≤10 km),9–12 yrs,Low Risk,Below Average,Very High,Excellent,N/A (Still Employed),Female,Single
41,2,2,3,27,20,34,195,5,2020,4,1,1,,3.218,0,Band 4 – High,11–20 yrs,26–35,Far (26–50 km),3–5 yrs,High Risk,Outstanding,Very Low,Very Poor,N/A (Still Employed),Female,Married
42,6,3,3,43,14,38,48,2,2023,1,3,4,1.0,2.276,1,Band 3 – Mid-High,11–20 yrs,36–45,Far (26–50 km),0–2 yrs,Low Risk,Below Average,High,Fair,High Dissatisfaction,Male,Divorced
43,1,4,3,60,3,35,107,1,2010,14,1,1,,4.52,0,Band 1 – Low,3–5 yrs,55+,Far (26–50 km),12+ yrs,High Risk,Needs Improvement,Very Low,Very Poor,N/A (Still Employed),Female,Married
44,2,6,3,52,4,46,176,4,2010,14,3,1,,3.442,0,Band 1 – Low,3–5 yrs,46–55,Far (26–50 km),12+ yrs,High Risk,Good,Very Low,Fair,N/A (Still Employed),Female,Divorced
45,5,5,2,23,5,42,30,4,2014,10,1,4,,2.834,0,Band 2 – Mid-Low,3–5 yrs,18–25,Far (26–50 km),9–12 yrs,Medium Risk,Good,High,Very Poor,N/A (Still Employed),Male,Married
46,3,4,1,49,5,8,29,4,2012,12,2,4,,2.616,0,Band 2 – Mid-Low,3–5 yrs,46–55,Near (≤10 km),9–12 yrs,Medium Risk,Good,High,Poor,N/A (Still Employed),Male,Single
47,5,5,2,32,7,49,67,5,2015,9,4,4,,1.848,0,Band 3 – Mid-High,6–10 yrs,26–35,Far (26–50 km),9–12 yrs,Low Risk,Outstanding,High,Good,N/A (Still Employed),Female,Divorced
48,6,1,2,60,7,49,154,3,2024,0,4,1,,2.698,0,Band 2 – Mid-Low,6–10 yrs,55+,Far (26–50 km),0–2 yrs,Medium Risk,Average,Very Low,Good,N/A (Still Employed),Female,Single
49,4,6,1,49,18,14,138,5,2014,10,3,3,,2.378,0,Band 4 – High,11–20 yrs,46–55,Medium (11–25 km),9–12 yrs,Medium Risk,Outstanding,Neutral,Fair,N/A (Still Employed),Female,Divorced
50,1,6,1,32,13,43,157,5,2022,2,3,3,,2.036,0,Band 4 – High,11–20 yrs,26–35,Far (26–50 km),0–2 yrs,Low Risk,Outstanding,Neutral,Fair,N/A (Still Employed),Female,Married
51,6,6,1,25,12,8,171,3,2023,1,1,3,,2.816,0,Band 3 – Mid-High,11–20 yrs,18–25,Near (≤10 km),0–2 yrs,Medium Risk,Average,Neutral,Very Poor,N/A (Still Employed),Male,Single
52,5,5,2,28,11,12,150,2,2018,6,2,1,,3.624,0,Band 2 – Mid-Low,11–20 yrs,26–35,Medium (11–25 km),6–8 yrs,High Risk,Below Average,Very Low,Poor,N/A (Still Employed),Male,Divorced
53,4,5,3,43,20,39,197,4,2020,4,3,4,,2.028,0,Band 4 – High,11–20 yrs,36–45,Far (26–50 km),3–5 yrs,Low Risk,Good,High,Fair,N/A (Still Employed),Male,Single
54,6,3,2,35,14,45,117,2,2022,2,3,3,,2.64,0,Band 3 – Mid-High,11–20 yrs,26–35,Far (26–50 km),0–2 yrs,Medium Risk,Below Average,Neutral,Fair,N/A (Still Employed),Female,Single
55,1,3,3,34,8,12,147,3,2018,6,2,2,,3.124,0,Band 2 – Mid-Low,6–10 yrs,26–35,Medium (11–25 km),6–8 yrs,High Risk,Average,Low,Poor,N/A (Still Employed),Female,Married
56,6,3,2,48,2,1,197,1,2012,12,4,1,5.0,3.602,0,Band 1 – Low,0–2 yrs,46–55,Near (≤10 km),9–12 yrs,High Risk,Needs Improvement,Very Low,Good,Low Dissatisfaction,Male,Single
57,2,2,3,57,20,36,41,5,2011,13,5,4,,1.772,0,Band 4 – High,11–20 yrs,55+,Far (26–50 km),12+ yrs,Low Risk,Outstanding,High,Excellent,N/A (Still Employed),Male,Divorced
58,2,1,1,56,19,29,145,4,2021,3,2,4,,2.208,0,Band 4 – High,11–20 yrs,55+,Far (26–50 km),3–5 yrs,Low Risk,Good,High,Poor,N/A (Still Employed),Female,Divorced
59,4,1,2,38,7,21,23,2,2014,10,1,1,,4.092,0,Band 1 – Low,6–10 yrs,36–45,Medium (11–25 km),9–12 yrs,High Risk,Below Average,Very Low,Very Poor,N/A (Still Employed),Male,Single
60,5,5,2,40,18,8,165,2,2012,12,4,3,,2.816,0,Band 4 – High,11–20 yrs,36–45,Near (≤10 km),9–12 yrs,Medium Risk,Below Average,Neutral,Good,N/A (Still Employed),Female,Single
61,2,3,3,41,10,3,130,4,2021,3,5,3,,1.706,0,Band 3 – Mid-High,6–10 yrs,36–45,Near (≤10 km),3–5 yrs,Low Risk,Good,Neutral,Excellent,N/A (Still Employed),Male,Divorced
62,3,6,3,37,5,9,178,5,2013,11,4,1,,2.768,0,Band 2 – Mid-Low,3–5 yrs,36–45,Near (≤10 km),9–12 yrs,Medium Risk,Outstanding,Very Low,Good,N/A (Still Employed),Female,Single
63,3,6,2,28,11,37,144,1,2016,8,5,2,,2.924,0,Band 2 – Mid-Low,11–20 yrs,26–35,Far (26–50 km),6–8 yrs,Medium Risk,Needs Improvement,Low,Excellent,N/A (Still Employed),Male,Married
64,6,1,2,25,8,14,143,2,2019,5,5,2,,2.528,0,Band 2 – Mid-Low,6–10 yrs,18–25,Medium (11–25 km),3–5 yrs,Medium Risk,Below Average,Low,Excellent,N/A (Still Employed),Male,Married
65,5,1,1,47,2,42,122,4,2024,0,4,2,,2.184,0,Band 1 – Low,0–2 yrs,46–55,Far (26–50 km),0–2 yrs,Low Risk,Good,Low,Good,N/A (Still Employed),Female,Single
66,3,5,3,58,9,11,91,2,2011,13,4,5,,2.272,0,Band 2 – Mid-Low,6–10 yrs,55+,Medium (11–25 km),12+ yrs,Low Risk,Below Average,Very High,Good,N/A (Still Employed),Male,Divorced
67,3,5,3,57,5,6,78,5,2014,10,4,1,,2.712,0,Band 2 – Mid-Low,3–5 yrs,55+,Near (≤10 km),9–12 yrs,Medium Risk,Outstanding,Very Low,Good,N/A (Still Employed),Female,Married
68,1,4,2,53,17,36,59,5,2013,11,2,2,,3.022,0,Band 4 – High,11–20 yrs,46–55,Far (26–50 km),9–12 yrs,High Risk,Outstanding,Low,Poor,N/A (Still Employed),Female,Single
69,1,4,3,31,19,17,157,1,2010,14,3,5,,2.784,0,Band 4 – High,11–20 yrs,26–35,Medium (11–25 km),12+ yrs,Medium Risk,Needs Improvement,Very High,Fair,N/A (Still Employed),Female,Single
70,3,5,3,25,16,49,85,4,2017,7,3,2,,2.798,0,Band 4 – High,11–20 yrs,18–25,Far (26–50 km),6–8 yrs,Medium Risk,Good,Low,Fair,N/A (Still Employed),Male,Single
71,1,4,3,45,7,3,72,4,2024,0,5,2,,1.856,0,Band 2 – Mid-Low,6–10 yrs,36–45,Near (≤10 km),0–2 yrs,Low Risk,Good,Low,Excellent,N/A (Still Employed),Male,Married
72,3,1,3,22,3,6,94,3,2015,9,3,4,,2.412,0,Band 1 – Low,3–5 yrs,18–25,Near (≤10 km),9–12 yrs,Medium Risk,Average,High,Fair,N/A (Still Employed),Female,Divorced
73,4,5,3,49,16,8,72,4,2013,11,4,1,,2.966,0,Band 4 – High,11–20 yrs,46–55,Near (≤10 km),9–12 yrs,High Risk,Good,Very Low,Good,N/A (Still Employed),Female,Married
74,1,5,3,27,20,33,102,4,2022,2,4,1,4.0,2.566,0,Band 4 – High,11–20 yrs,26–35,Far (26–50 km),0–2 yrs,Medium Risk,Good,Very Low,Good,Low Dissatisfaction,Female,Divorced
75,3,3,3,40,3,20,69,2,2020,4,3,5,,2.09,0,Band 1 – Low,3–5 yrs,36–45,Medium (11–25 km),3–5 yrs,Low Risk,Below Average,Very High,Fair,N/A (Still Employed),Male,Divorced
76,3,1,2,60,6,24,126,1,2020,4,1,2,,3.698,0,Band 1 – Low,6–10 yrs,55+,Medium (11–25 km),3–5 yrs,High Risk,Needs Improvement,Low,Very Poor,N/A (Still Employed),Male,Single
77,6,1,3,52,17,35,90,3,2016,8,2,3,,2.97,0,Band 4 – High,11–20 yrs,46–55,Far (26–50 km),6–8 yrs,High Risk,Average,Neutral,Poor,N/A (Still Employed),Male,Divorced
78,5,2,1,34,13,11,39,4,2016,8,5,3,,1.972,0,Band 3 – Mid-High,11–20 yrs,26–35,Medium (11–25 km),6–8 yrs,Low Risk,Good,Neutral,Excellent,N/A (Still Employed),Female,Divorced
79,4,2,2,28,17,28,187,2,2016,8,1,5,4.0,2.806,0,Band 4 – High,11–20 yrs,26–35,Far (26–50 km),6–8 yrs,Medium Risk,Below Average,Very High,Very Poor,Low Dissatisfaction,Male,Divorced
80,5,3,2,23,12,43,71,3,2024,0,4,4,,1.786,0,Band 3 – Mid-High,11–20 yrs,18–25,Far (26–50 km),0–2 yrs,Low Risk,Average,High,Good,N/A (Still Employed),Female,Single
81,4,2,3,35,16,1,123,1,2011,13,4,2,3.0,3.352,1,Band 3 – Mid-High,11–20 yrs,26–35,Near (≤10 km),12+ yrs,High Risk,Needs Improvement,Low,Good,Moderate Dissatisfaction,Male,Married
82,6,4,3,32,17,16,197,1,2024,0,3,4,,2.382,0,Band 3 – Mid-High,11–20 yrs,26–35,Medium (11–25 km),0–2 yrs,Medium Risk,Needs Improvement,High,Fair,N/A (Still Employed),Non-Binary / Other,Single
83,6,5,3,40,15,20,114,1,2014,10,5,2,,2.99,0,Band 3 – Mid-High,11–20 yrs,36–45,Medium (11–25 km),9–12 yrs,High Risk,Needs Improvement,Low,Excellent,N/A (Still Employed),Male,Divorced
84,5,6,2,27,6,3,102,3,2024,0,4,2,,2.306,0,Band 2 – Mid-Low,6–10 yrs,26–35,Near (≤10 km),0–2 yrs,Low Risk,Average,Low,Good,N/A (Still Employed),Male,Divorced
85,6,4,2,52,11,34,30,5,2014,10,5,5,,1.318,0,Band 3 – Mid-High,11–20 yrs,46–55,Far (26–50 km),9–12 yrs,Low Risk,Outstanding,Very High,Excellent,N/A (Still Employed),Male,Single
86,2,1,3,29,12,19,100,3,2019,5,1,2,,3.338,0,Band 3 – Mid-High,11–20 yrs,26–35,Medium (11–25 km),3–5 yrs,High Risk,Average,Low,Very Poor,N/A (Still Employed),Female,Single
87,3,2,2,41,17,43,153,1,2014,10,2,2,,3.786,0,Band 3 – Mid-High,11–20 yrs,36–45,Far (26–50 km),9–12 yrs,High Risk,Needs Improvement,Low,Poor,N/A (Still Employed),Male,Divorced
88,2,6,1,47,16,35,139,2,2012,12,5,3,,2.62,0,Band 3 – Mid-High,11–20 yrs,46–55,Far (26–50 km),9–12 yrs,Medium Risk,Below Average,Neutral,Excellent,N/A (Still Employed),Male,Divorced
89,1,4,3,52,16,29,29,3,2019,5,2,1,,3.408,0,Band 4 – High,11–20 yrs,46–55,Far (26–50 km),3–5 yrs,High Risk,Average,Very Low,Poor,N/A (Still Employed),Male,Divorced
90,6,1,2,53,16,9,102,2,2016,8,3,2,,3.168,0,Band 3 – Mid-High,11–20 yrs,46–55,Near (≤10 km),6–8 yrs,High Risk,Below Average,Low,Fair,N/A (Still Employed),Male,Single
91,5,2,3,38,9,37,177,5,2020,4,5,1,4.0,2.224,0,Band 3 – Mid-High,6–10 yrs,36–45,Far (26–50 km),3–5 yrs,Low Risk,Outstanding,Very Low,Excellent,Low Dissatisfaction,Female,Single
92,3,5,3,27,19,32,133,1,2024,0,5,4,,1.914,0,Band 4 – High,11–20 yrs,26–35,Far (26–50 km),0–2 yrs,Low Risk,Needs Improvement,High,Excellent,N/A (Still Employed),Male,Married
93,3,5,1,56,13,45,164,1,2015,9,2,2,1.0,3.74,1,Band 2 – Mid-Low,11–20 yrs,55+,Far (26–50 km),9–12 yrs,High Risk,Needs Improvement,Low,Poor,High Dissatisfaction,Male,Divorced
94,1,2,1,46,19,21,68,2,2022,2,5,3,,2.092,0,Band 4 – High,11–20 yrs,46–55,Medium (11–25 km),0–2 yrs,Low Risk,Below Average,Neutral,Excellent,N/A (Still Employed),Male,Married
95,5,5,3,33,2,34,124,5,2019,5,2,4,,2.118,0,Band 1 – Low,0–2 yrs,26–35,Far (26–50 km),3–5 yrs,Low Risk,Outstanding,High,Poor,N/A (Still Employed),Female,Single
96,4,3,1,45,7,23,117,1,2012,12,2,3,,3.546,0,Band 1 – Low,6–10 yrs,36–45,Medium (11–25 km),9–12 yrs,High Risk,Needs Improvement,Neutral,Poor,N/A (Still Employed),Female,Divorced
97,3,2,2,46,8,39,68,3,2020,4,3,3,4.0,2.528,1,Band 2 – Mid-Low,6–10 yrs,46–55,Far (26–50 km),3–5 yrs,Medium Risk,Average,Neutral,Fair,Low Dissatisfaction,Male,Divorced
98,4,3,3,45,7,35,155,2,2022,2,1,5,,2.52,0,Band 1 – Low,6–10 yrs,36–45,Far (26–50 km),0–2 yrs,Medium Risk,Below Average,Very High,Very Poor,N/A (Still Employed),Female,Married
99,5,2,3,33,15,33,42,5,2013,11,1,3,1.0,2.966,1,Band 4 – High,11–20 yrs,26–35,Far (26–50 km),9–12 yrs,High Risk,Outstanding,Neutral,Very Poor,High Dissatisfaction,Male,Divorced
100,3,3,2,50,8,14,147,2,2014,10,3,1,,3.578,0,Band 2 – Mid-Low,6–10 yrs,46–55,Medium (11–25 km),9–12 yrs,High Risk,Below Average,Very Low,Fair,N/A (Still Employed),Female,Single
101,2,5,2,24,13,45,72,1,2012,12,2,1,,4.19,0,Band 2 – Mid-Low,11–20 yrs,18–25,Far (26–50 km),9–12 yrs,High Risk,Needs Improvement,Very Low,Poor,N/A (Still Employed),Male,Married
102,6,5,1,38,7,7,114,2,2016,8,3,3,,2.864,0,Band 1 – Low,6–10 yrs,36–45,Near (≤10 km),6–8 yrs,Medium Risk,Below Average,Neutral,Fair,N/A (Still Employed),Male,Married
103,5,4,2,50,10,43,182,3,2018,6,4,1,,2.986,0,Band 2 – Mid-Low,6–10 yrs,46–55,Far (26–50 km),6–8 yrs,High Risk,Average,Very Low,Good,N/A (Still Employed),Female,Married
104,4,1,3,51,14,3,159,1,2013,11,4,4,,2.656,0,Band 3 – Mid-High,11–20 yrs,46–55,Near (≤10 km),9–12 yrs,Medium Risk,Needs Improvement,High,Good,N/A (Still Employed),Male,Married
105,2,3,1,38,13,16,180,5,2014,10,2,1,,3.232,0,Band 4 – High,11–20 yrs,36–45,Medium (11–25 km),9–12 yrs,High Risk,Outstanding,Very Low,Poor,N/A (Still Employed),Female,Divorced
106,5,6,2,36,19,3,45,5,2014,10,4,2,,2.406,0,Band 4 – High,11–20 yrs,36–45,Near (≤10 km),9–12 yrs,Medium Risk,Outstanding,Low,Good,N/A (Still Employed),Female,Single
107,3,2,3,39,6,13,165,1,2011,13,1,4,,3.526,0,Band 1 – Low,6–10 yrs,36–45,Medium (11–25 km),12+ yrs,High Risk,Needs Improvement,High,Very Poor,N/A (Still Employed),Female,Married
108,6,5,1,58,12,10,76,5,2014,10,2,1,,3.22,0,Band 4 – High,11–20 yrs,55+,Near (≤10 km),9–12 yrs,High Risk,Outstanding,Very Low,Poor,N/A (Still Employed),Male,Single
109,2,5,3,25,9,20,83,4,2019,5,2,5,,1.99,0,Band 3 – Mid-High,6–10 yrs,18–25,Medium (11–25 km),3–5 yrs,Low Risk,Good,Very High,Poor,N/A (Still Employed),Female,Single
110,6,2,3,31,18,14,97,1,2024,0,2,4,,2.628,0,Band 3 – Mid-High,11–20 yrs,26–35,Medium (11–25 km),0–2 yrs,Medium Risk,Needs Improvement,High,Poor,N/A (Still Employed),Female,Single
111,3,1,3,28,3,9,90,1,2020,4,3,5,,2.268,0,Band 1 – Low,3–5 yrs,26–35,Near (≤10 km),3–5 yrs,Low Risk,Needs Improvement,Very High,Fair,N/A (Still Employed),Female,Married
112,5,2,2,27,5,39,40,3,2017,7,3,5,,2.078,0,Band 1 – Low,3–5 yrs,26–35,Far (26–50 km),6–8 yrs,Low Risk,Average,Very High,Fair,N/A (Still Employed),Male,Married
113,3,6,3,44,3,36,30,1,2018,6,1,2,,3.822,0,Band 1 – Low,3–5 yrs,36–45,Far (26–50 km),6–8 yrs,High Risk,Needs Improvement,Low,Very Poor,N/A (Still Employed),Female,Divorced
114,2,3,1,56,10,14,114,3,2012,12,2,2,,3.428,0,Band 2 – Mid-Low,6–10 yrs,55+,Medium (11–25 km),9–12 yrs,High Risk,Average,Low,Poor,N/A (Still Employed),Female,Married
115,3,3,3,48,15,38,117,1,2016,8,2,1,,3.976,0,Band 3 – Mid-High,11–20 yrs,46–55,Far (26–50 km),6–8 yrs,High Risk,Needs Improvement,Very Low,Poor,N/A (Still Employed),Male,Married
116,1,6,1,59,17,23,139,3,2022,2,2,1,2.0,3.246,1,Band 4 – High,11–20 yrs,55+,Medium (11–25 km),0–2 yrs,High Risk,Average,Very Low,Poor,High Dissatisfaction,Female,Single
117,6,6,2,36,12,18,47,3,2024,0,4,3,,2.036,0,Band 3 – Mid-High,11–20 yrs,36–45,Medium (11–25 km),0–2 yrs,Low Risk,Average,Neutral,Good,N/A (Still Employed),Female,Single
118,3,4,3,57,8,9,157,4,2023,1,1,2,,2.918,0,Band 2 – Mid-Low,6–10 yrs,55+,Near (≤10 km),0–2 yrs,Medium Risk,Good,Low,Very Poor,N/A (Still Employed),Male,Single
119,3,6,2,25,19,47,136,5,2016,8,2,1,,3.194,0,Band 4 – High,11–20 yrs,18–25,Far (26–50 km),6–8 yrs,High Risk,Outstanding,Very Low,Poor,N/A (Still Employed),Female,Divorced
120,5,6,3,46,2,40,171,2,2011,13,2,4,,3.13,0,Band 1 – Low,0–2 yrs,46–55,Far (26–50 km),12+ yrs,High Risk,Below Average,High,Poor,N/A (Still Employed),Male,Married
121,1,2,3,55,15,28,60,3,2012,12,5,1,,3.006,0,Band 3 – Mid-High,11–20 yrs,46–55,Far (26–50 km),9–12 yrs,High Risk,Average,Very Low,Excellent,N/A (Still Employed),Female,Married
122,6,5,3,48,17,5,56,4,2018,6,3,1,,2.96,0,Band 4 – High,11–20 yrs,46–55,Near (≤10 km),6–8 yrs,High Risk,Good,Very Low,Fair,N/A (Still Employed),Male,Divorced
